id,gold,gold_cmp,pred,correct,success,execution_success,attempts,elapsed_s,vote_agreement,vote_tied,sandbox_failures,sandbox_timeouts,difficulty,source
aime_2022_021,140,140,0,False,False,False,5,353.461,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2022_022,125,125,49,False,True,True,6,302.647,1.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2022_023,21,21,0,False,True,True,5,317.723,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2022_024,112,112,0,False,False,False,5,352.843,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2022_025,72,72,986,False,True,True,7,232.237,1.0,False,6,0,hard,AI-MO/aimo-validation-aime
aime_2022_026,841,841,800,False,True,True,6,349.752,0.5,True,4,0,hard,AI-MO/aimo-validation-aime
aime_2022_027,192,192,0,False,True,True,2,120.179,1.0,False,0,0,hard,AI-MO/aimo-validation-aime
aime_2022_028,80,80,80,True,True,True,5,335.455,0.5,True,3,0,hard,AI-MO/aimo-validation-aime
aime_2022_029,244,244,46,False,True,True,5,312.619,1.0,False,2,0,hard,AI-MO/aimo-validation-aime
aime_2023_030,191,191,441,False,True,True,5,309.623,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2023_031,944,944,349,False,True,True,6,343.151,1.0,False,5,1,hard,AI-MO/aimo-validation-aime
aime_2023_032,235,235,0,False,False,False,5,307.141,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2023_033,75,75,3,False,True,True,5,327.709,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2023_034,125,125,2,False,True,True,5,338.458,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2023_035,608,608,0,False,False,False,6,322.297,0.0,False,6,0,hard,AI-MO/aimo-validation-aime
aime_2023_036,349,349,0,False,False,False,5,305.605,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2023_037,881,881,0,False,False,False,5,328.393,0.0,False,5,2,hard,AI-MO/aimo-validation-aime
aime_2023_038,607,607,625,False,True,True,4,253.348,0.6667,False,1,0,hard,AI-MO/aimo-validation-aime
aime_2023_039,12,12,0,False,False,False,5,351.32,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2023_040,106,106,0,False,False,False,5,354.233,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2023_041,51,51,3,False,True,True,7,301.449,1.0,False,6,0,hard,AI-MO/aimo-validation-aime
aime_2023_042,49,49,49,True,True,True,2,57.507,1.0,False,0,0,hard,AI-MO/aimo-validation-aime
aime_2023_043,125,125,3,False,True,True,5,351.176,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2023_044,738,738,0,False,True,True,5,301.251,1.0,False,4,1,hard,AI-MO/aimo-validation-aime
aime_2023_045,220,220,220,True,True,True,5,227.474,1.0,False,3,0,hard,AI-MO/aimo-validation-aime
aime_2023_046,144,144,0,False,False,False,6,338.822,0.0,False,6,0,hard,AI-MO/aimo-validation-aime
aime_2023_047,81,81,536,False,True,True,6,322.669,0.5,True,4,0,hard,AI-MO/aimo-validation-aime
aime_2023_048,247,247,0,False,False,False,5,351.858,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2023_049,167,167,0,False,False,False,5,351.666,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2023_050,751,751,181,False,True,True,3,186.703,0.3333,True,0,0,hard,AI-MO/aimo-validation-aime
aime_2023_051,363,363,0,False,True,True,5,302.246,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2023_052,585,585,585,True,True,True,7,173.021,1.0,False,6,0,hard,AI-MO/aimo-validation-aime
aime_2023_053,250,250,2,False,True,True,6,326.978,0.5,True,4,0,hard,AI-MO/aimo-validation-aime
aime_2023_054,273,273,289,False,True,True,2,84.796,1.0,False,0,0,hard,AI-MO/aimo-validation-aime
aime_2023_055,719,719,719,True,True,True,5,352.823,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2023_056,35,35,0,False,False,False,4,316.544,0.0,False,4,3,hard,AI-MO/aimo-validation-aime
aime_2023_057,928,928,58,False,True,True,5,302.445,0.5,True,3,0,hard,AI-MO/aimo-validation-aime
aime_2023_058,24,24,7,False,True,True,5,350.543,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2023_059,33,33,0,False,False,False,5,351.796,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2024_060,204,204,0,False,True,True,5,335.132,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2024_061,113,113,2,False,True,True,5,352.91,1.0,False,2,0,hard,AI-MO/aimo-validation-aime
aime_2024_062,371,371,289,False,True,True,6,322.27,1.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2024_063,385,385,0,False,False,False,5,353.49,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2024_064,110,110,110,True,True,True,2,86.958,1.0,False,0,0,hard,AI-MO/aimo-validation-aime
aime_2024_065,104,104,0,False,False,False,5,338.469,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2024_066,721,721,0,False,False,False,5,352.522,0.0,False,3,0,hard,AI-MO/aimo-validation-aime
aime_2024_067,25,25,0,False,False,False,6,330.871,0.0,False,6,0,hard,AI-MO/aimo-validation-aime
aime_2024_068,809,809,0,False,False,False,6,320.071,0.0,False,6,0,hard,AI-MO/aimo-validation-aime
aime_2024_069,116,116,116,True,True,True,2,126.109,1.0,False,0,0,hard,AI-MO/aimo-validation-aime
aime_2024_070,104,104,2,False,True,True,5,310.132,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2024_071,294,294,0,False,False,False,7,326.828,0.0,False,7,0,hard,AI-MO/aimo-validation-aime
aime_2024_072,540,540,5,False,True,True,6,314.66,1.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2024_073,197,197,0,False,False,False,5,342.126,0.0,False,3,0,hard,AI-MO/aimo-validation-aime
aime_2024_074,480,480,0,False,True,True,5,352.353,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2024_075,73,73,0,False,True,True,6,365.842,0.5,True,4,0,hard,AI-MO/aimo-validation-aime
aime_2024_076,468,468,0,False,False,False,5,352.233,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2024_077,601,601,0,False,False,False,5,352.968,0.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2024_078,23,23,0,False,False,False,5,314.0,0.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2024_079,321,321,321,True,True,True,5,337.608,1.0,False,4,1,hard,AI-MO/aimo-validation-aime
aime_2024_080,211,211,0,False,False,False,5,341.27,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2024_081,315,315,0,False,False,False,5,345.964,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2024_082,236,236,196,False,True,True,6,307.086,0.5,True,4,0,hard,AI-MO/aimo-validation-aime
aime_2024_083,45,45,0,False,True,True,5,364.335,1.0,False,4,1,hard,AI-MO/aimo-validation-aime
aime_2024_084,33,33,0,False,True,True,2,132.682,1.0,False,0,0,hard,AI-MO/aimo-validation-aime
aime_2024_085,80,80,156,False,True,True,5,303.378,1.0,False,3,0,hard,AI-MO/aimo-validation-aime
aime_2024_086,55,55,56,False,True,True,7,301.538,1.0,False,6,0,hard,AI-MO/aimo-validation-aime
aime_2024_087,699,699,0,False,False,False,5,352.957,0.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2024_088,127,127,5,False,True,True,5,356.492,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2024_089,902,902,8,False,True,True,5,284.411,0.5,True,3,0,hard,AI-MO/aimo-validation-aime
